Pokemon Name,First Type,Second Type,Third Type,Attack,Defense,HP,Sp. Attack,Sp. Defense
Bulbasaur,Grass,Poison,NULL,49,49,45,65,65
Ivysaur,Grass,Poison,NULL,62,63,60,80,80
Venusaur,Grass,Poison,NULL,82,83,80,100,100
Charmander,Fire,NULL,NULL,52,43,39,60,50
Charmeleon,Fire,NULL,NULL,64,58,58,80,65
Charizard,Fire,Flying,NULL,84,78,78,109,85
Squirtle,Water,NULL,NULL,48,65,44,50,64
Wartortle,Water,NULL,NULL,63,80,59,65,80
Blastoise,Water,NULL,NULL,83,100,79,85,105
Caterpie,Bug,NULL,NULL,30,35,45,20,20
Metapod,Bug,NULL,NULL,20,55,50,25,25
Butterfree,Bug,Flying,NULL,45,50,60,90,80
Weedle,Bug,Poison,NULL,35,30,40,20,20
Kakuna,Bug,Poison,NULL,25,50,45,25,25
Beedrill,Bug,Poison,NULL,90,40,65,45,80
Pidgey,Normal,Flying,NULL,45,40,40,35,35
Pidgeotto,Normal,Flying,NULL,60,55,63,50,50
Pidgeot,Normal,Flying,NULL,80,75,83,70,70
Rattata,Normal,NULL,NULL,56,35,30,25,35
Raticate,Normal,NULL,NULL,81,60,55,50,70
Spearow,Normal,Flying,NULL,60,30,40,31,31
Fearow,Normal,Flying,NULL,90,65,65,61,61
Ekans,Poison,NULL,NULL,60,44,35,40,54
Arbok,Poison,NULL,NULL,85,69,60,65,79
Pikachu,Electric,NULL,NULL,55,40,35,50,50
Raichu,Electric,NULL,NULL,90,55,60,90,80
Sandshrew,Ground,NULL,NULL,75,85,50,20,30
Sandslash,Ground,NULL,NULL,100,110,75,45,55
Nidoran♀,Poison,NULL,NULL,47,52,55,40,40
Nidorina,Poison,NULL,NULL,62,67,70,55,55
Nidoqueen,Poison,Ground,NULL,92,87,90,75,85
Nidoran♂,Poison,NULL,NULL,57,40,46,40,40
Nidorino,Poison,NULL,NULL,72,57,61,55,55
Nidoking,Poison,Ground,NULL,102,77,81,85,75
Clefairy,Fairy,NULL,NULL,45,48,70,60,65
Clefable,Fairy,NULL,NULL,70,73,95,95,90
Vulpix,Fire,NULL,NULL,41,40,38,50,65
Ninetales,Fire,NULL,NULL,76,75,73,81,100
Jigglypuff,Normal,Fairy,NULL,45,20,115,45,25
Wigglytuff,Normal,Fairy,NULL,70,45,140,85,50
Zubat,Poison,Flying,NULL,45,35,40,30,40
Golbat,Poison,Flying,NULL,80,70,75,65,75
Oddish,Grass,Poison,NULL,50,55,45,75,65
Gloom,Grass,Poison,NULL,65,70,60,85,75
Vileplume,Grass,Poison,NULL,80,85,75,110,90
Paras,Bug,Grass,NULL,70,55,35,45,55
Parasect,Bug,Grass,NULL,95,80,60,60,80
Venonat,Bug,Poison,NULL,55,50,60,40,55
Venomoth,Bug,Poison,NULL,65,60,70,90,75
Diglett,Ground,NULL,NULL,55,25,10,35,45
Dugtrio,Ground,NULL,NULL,80,50,35,50,70
Meowth,Normal,NULL,NULL,45,35,40,40,40
Persian,Normal,NULL,NULL,70,60,65,65,65
Psyduck,Water,NULL,NULL,52,48,50,65,50
Golduck,Water,NULL,NULL,82,78,80,95,80
Mankey,Fighting,NULL,NULL,80,35,40,35,45
Primeape,Fighting,NULL,NULL,105,60,65,60,70
Growlithe,Fire,NULL,NULL,70,45,55,70,50
Arcanine,Fire,NULL,NULL,110,80,90,100,80
Poliwag,Water,NULL,NULL,50,40,40,40,40
Poliwhirl,Water,NULL,NULL,65,65,65,50,50
Poliwrath,Water,Fighting,NULL,95,95,90,70,90
Abra,Psychic,NULL,NULL,20,15,25,105,55
Kadabra,Psychic,NULL,NULL,35,30,40,120,70
Alakazam,Psychic,NULL,NULL,50,45,55,135,85
Machop,Fighting,NULL,NULL,80,50,70,35,35
Machoke,Fighting,NULL,NULL,100,70,80,50,60
Machamp,Fighting,NULL,NULL,130,80,90,65,85
Bellsprout,Grass,Poison,NULL,75,35,50,70,30
Weepinbell,Grass,Poison,NULL,90,50,65,85,45
Victreebel,Grass,Poison,NULL,105,65,80,100,70
Tentacool,Water,Poison,NULL,40,35,40,50,100
Tentacruel,Water,Poison,NULL,70,65,80,80,120
Geodude,Rock,Ground,NULL,80,100,40,30,30
Graveler,Rock,Ground,NULL,95,115,55,45,45
Golem,Rock,Ground,NULL,120,130,80,55,65
Ponyta,Fire,NULL,NULL,85,55,50,65,65
Rapidash,Fire,NULL,NULL,100,70,65,80,80
Slowpoke,Water,Psychic,NULL,65,65,90,40,40
Slowbro,Water,Psychic,NULL,75,110,95,100,80
Magnemite,Electric,Steel,NULL,35,70,25,95,55
Magneton,Electric,Steel,NULL,60,95,50,120,70
Farfetch'd,Normal,Flying,NULL,65,55,52,58,62
Doduo,Normal,Flying,NULL,85,45,35,35,35
Dodrio,Normal,Flying,NULL,110,70,60,60,60
Seel,Water,NULL,NULL,45,55,65,45,70
Dewgong,Water,Ice,NULL,70,80,90,70,95
Grimer,Poison,NULL,NULL,80,50,80,40,50
Muk,Poison,NULL,NULL,105,75,105,65,100
Shellder,Water,NULL,NULL,65,100,30,45,25
Cloyster,Water,Ice,NULL,95,180,50,85,45
Gastly,Ghost,Poison,NULL,35,30,30,100,35
Haunter,Ghost,Poison,NULL,50,45,45,115,55
Gengar,Ghost,Poison,NULL,65,60,60,130,75
Onix,Rock,Ground,NULL,45,160,35,30,45
Drowzee,Psychic,NULL,NULL,48,45,60,43,90
Hypno,Psychic,NULL,NULL,73,70,85,73,115
Krabby,Water,NULL,NULL,105,90,30,25,25
Kingler,Water,NULL,NULL,130,115,55,50,50
Voltorb,Electric,NULL,NULL,30,50,40,55,55
Electrode,Electric,NULL,NULL,50,70,60,80,80
Exeggcute,Grass,Psychic,NULL,40,80,60,60,45
Exeggutor,Grass,Psychic,NULL,95,85,95,125,65
Cubone,Ground,NULL,NULL,50,95,50,40,50
Marowak,Ground,NULL,NULL,80,110,60,50,80
Hitmonlee,Fighting,NULL,NULL,120,53,50,35,110
Hitmonchan,Fighting,NULL,NULL,105,79,50,35,110
Lickitung,Normal,NULL,NULL,55,75,90,60,75
Koffing,Poison,NULL,NULL,65,95,40,60,45
Weezing,Poison,NULL,NULL,90,120,65,85,70
Rhyhorn,Ground,Rock,NULL,85,95,80,30,30
Rhydon,Ground,Rock,NULL,130,120,105,45,45
Chansey,Normal,NULL,NULL,5,5,250,35,105
Tangela,Grass,NULL,NULL,55,115,65,100,40
Kangaskhan,Normal,NULL,NULL,95,80,105,40,80
Horsea,Water,NULL,NULL,40,70,30,70,25
Seadra,Water,NULL,NULL,65,95,55,95,45
Goldeen,Water,NULL,NULL,67,60,45,35,50
Seaking,Water,NULL,NULL,92,65,80,65,80
Staryu,Water,NULL,NULL,45,55,30,70,55
Starmie,Water,Psychic,NULL,75,85,60,100,85
Mr. Mime,Psychic,Fairy,NULL,45,65,40,100,120
Scyther,Bug,Flying,NULL,110,80,70,55,80
Jynx,Ice,Psychic,NULL,50,35,65,115,95
Electabuzz,Electric,NULL,NULL,83,57,65,95,85
Magmar,Fire,NULL,NULL,95,57,65,100,85
Pinsir,Bug,NULL,NULL,125,100,65,55,70
Tauros,Normal,NULL,NULL,100,95,75,40,70
Magikarp,Water,NULL,NULL,10,55,20,15,20
Gyarados,Water,Flying,NULL,125,79,95,60,100
Lapras,Water,Ice,NULL,85,80,130,85,95
Ditto,Normal,NULL,NULL,48,48,48,48,48
Eevee,Normal,NULL,NULL,55,50,55,45,65
Vaporeon,Water,NULL,NULL,65,60,130,110,95
Jolteon,Electric,NULL,NULL,65,60,65,110,95
Flareon,Fire,NULL,NULL,130,60,65,110,95
Porygon,Normal,NULL,NULL,60,70,65,85,75
Omanyte,Rock,Water,NULL,40,100,35,90,55
Omastar,Rock,Water,NULL,60,125,70,115,70
Kabuto,Rock,Water,NULL,80,90,30,55,45
Kabutops,Rock,Water,NULL,115,105,60,65,70
Aerodactyl,Rock,Flying,NULL,105,65,80,60,75
Snorlax,Normal,NULL,NULL,110,65,160,65,110
Articuno,Ice,Flying,NULL,85,100,90,95,125
Zapdos,Electric,Flying,NULL,90,85,90,125,90
Moltres,Fire,Flying,NULL,100,90,90,125,85
Dratini,Dragon,NULL,NULL,64,45,41,50,50
Dragonair,Dragon,NULL,NULL,84,65,61,70,70
Dragonite,Dragon,Flying,NULL,134,95,91,100,100
Mewtwo,Psychic,NULL,NULL,110,90,106,154,90
Mew,Psychic,NULL,NULL,100,100,100,100,100
Chikorita,Grass,NULL,NULL,49,65,45,49,65
Bayleef,Grass,NULL,NULL,62,80,60,63,80
Meganium,Grass,NULL,NULL,82,100,80,83,100
Cyndaquil,Fire,NULL,NULL,52,43,39,60,50
Quilava,Fire,NULL,NULL,64,58,58,80,65
Typhlosion,Fire,NULL,NULL,84,78,78,109,85
Totodile,Water,NULL,NULL,65,64,50,44,48
Croconaw,Water,NULL,NULL,80,80,65,59,63
Feraligatr,Water,NULL,NULL,105,100,85,79,83
Sentret,Normal,NULL,NULL,46,34,35,35,45
Furret,Normal,NULL,NULL,76,64,85,45,55
Hoothoot,Normal,Flying,NULL,30,30,60,36,56
Noctowl,Normal,Flying,NULL,50,50,100,76,96
Ledyba,Bug,Flying,NULL,20,30,40,40,80
Ledian,Bug,Flying,NULL,35,50,55,55,110
Spinarak,Bug,Poison,NULL,60,40,40,40,40
Ariados,Bug,Poison,NULL,90,70,70,60,60
Crobat,Poison,Flying,NULL,90,80,85,70,80
Chinchou,Water,Electric,NULL,38,38,75,56,56
Lanturn,Water,Electric,NULL,58,58,125,76,76
Pichu,Electric,NULL,NULL,40,15,20,35,35
Cleffa,Fairy,NULL,NULL,25,28,50,45,55
Igglybuff,Normal,Fairy,NULL,30,15,90,40,20
Togepi,Fairy,NULL,NULL,20,65,35,40,65
Togetic,Fairy,Flying,NULL,40,85,55,80,105
Natu,Psychic,Flying,NULL,50,45,40,70,45
Xatu,Psychic,Flying,NULL,75,70,65,95,70
Mareep,Electric,NULL,NULL,40,40,55,65,45
Flaaffy,Electric,NULL,NULL,55,55,70,80,60
Ampharos,Electric,NULL,NULL,75,85,90,115,90
Bellossom,Grass,NULL,NULL,80,95,75,90,100
Marill,Water,Fairy,NULL,20,50,70,20,50
Azumarill,Water,Fairy,NULL,50,80,100,60,80
Sudowoodo,Rock,NULL,NULL,100,115,70,30,65
Politoed,Water,NULL,NULL,75,75,90,90,100
Hoppip,Grass,Flying,NULL,35,40,35,35,55
Skiploom,Grass,Flying,NULL,45,50,55,45,65
Jumpluff,Grass,Flying,NULL,55,70,75,55,95
Aipom,Normal,NULL,NULL,70,55,55,40,55
Sunkern,Grass,NULL,NULL,30,30,30,30,30
Sunflora,Grass,NULL,NULL,75,55,75,105,85
Yanma,Bug,Flying,NULL,65,45,65,75,45
Wooper,Water,Ground,NULL,45,45,55,25,25
Quagsire,Water,Ground,NULL,85,85,95,65,65
Espeon,Psychic,NULL,NULL,65,60,65,130,95
Umbreon,Dark,NULL,NULL,65,110,95,60,130
Murkrow,Dark,Flying,NULL,85,42,60,42,85
Slowking,Water,Psychic,NULL,75,80,95,100,110
Misdreavus,Ghost,NULL,NULL,60,60,60,85,85
Unown,Psychic,NULL,NULL,72,48,48,72,48
Wobbuffet,Psychic,NULL,NULL,33,58,190,33,58
Girafarig,Normal,Psychic,NULL,80,65,70,90,65
Pineco,Bug,NULL,NULL,65,90,50,45,30
Forretress,Bug,Steel,NULL,90,140,75,60,60
Dunsparce,Normal,NULL,NULL,70,70,100,65,65
Gligar,Ground,Flying,NULL,75,105,65,35,65
Steelix,Steel,Ground,NULL,85,200,75,55,65
Snubbull,Fairy,NULL,NULL,80,50,60,40,40
Granbull,Fairy,NULL,NULL,120,75,90,60,60
Qwilfish,Water,Poison,NULL,95,75,65,55,55
Scizor,Bug,Steel,NULL,130,100,70,55,80
Shuckle,Bug,Rock,NULL,10,230,20,10,230
Heracross,Bug,Fighting,NULL,185,115,80,40,105
Sneasel,Dark,Ice,NULL,95,55,55,35,75
Teddiursa,Normal,NULL,NULL,80,50,60,50,50
Ursaring,Normal,NULL,NULL,130,75,90,75,75
Slugma,Fire,NULL,NULL,40,40,40,70,40
Magcargo,Fire,Rock,NULL,50,120,50,80,80
Swinub,Ice,Ground,NULL,50,40,50,30,30
Piloswine,Ice,Ground,NULL,100,80,100,60,60
Corsola,Water,Rock,NULL,55,85,55,65,85
Remoraid,Water,NULL,NULL,65,35,35,65,35
Octillery,Water,NULL,NULL,105,75,75,105,75
Delibird,Ice,Flying,NULL,55,45,45,65,45
Mantine,Water,Flying,NULL,40,70,65,80,140
Skarmory,Steel,Flying,NULL,80,140,65,40,70
Houndour,Dark,Fire,NULL,60,30,50,80,50
Houndoom,Dark,Fire,NULL,90,50,70,110,80
Kingdra,Water,Dragon,NULL,95,95,75,95,95
Phanpy,Ground,NULL,NULL,60,60,90,40,40
Donphan,Ground,NULL,NULL,120,120,90,60,60
Porygon2,Normal,NULL,NULL,80,90,85,105,95
Stantler,Normal,NULL,NULL,95,62,73,85,65
Smeargle,Normal,NULL,NULL,20,35,55,20,45
Tyrogue,Fighting,NULL,NULL,35,35,35,35,35
